User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
12816168	capacitor_charge	12.23	1810	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.24	1813	model	updating state			-0.1	BATTERY_CONNECTED	-1.1263	10.0	100.0							
12816168	capacitor_charge	12.26	1816	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.26	1819	model	updating state			-0.03	BATTERY_CONNECTED	-0.3604	10.0	100.0							
12816168	capacitor_charge	12.28	1822	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.28	1825	model	updating state			-0.02	BATTERY_CONNECTED	-0.2703	10.0	100.0							
12816168	capacitor_charge	12.29	1828	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.29	1831	model	updating state			-0.02	BATTERY_CONNECTED	-0.2253	10.0	100.0							
12816168	capacitor_charge	12.32	1834	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.32	1837	model	updating state			-0.02	BATTERY_CONNECTED	-0.1802	10.0	100.0							
12816168	capacitor_charge	12.35	1840	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.35	1843	model	updating state			0.0	BATTERY_CONNECTED	0.0	10.0	100.0							
12816168	capacitor_charge	12.37	1846	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.38	1849	model	updating state			0.04	BATTERY_CONNECTED	0.4956	10.0	100.0							
12816168	capacitor_charge	12.39	1852	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.39	1855	model	updating state			0.08	BATTERY_CONNECTED	0.9011	10.0	100.0							
12816168	capacitor_charge	12.41	1858	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.41	1861	model	updating state			0.11	BATTERY_CONNECTED	1.2615	10.0	100.0							
12816168	capacitor_charge	12.43	1864	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.44	1867	model	updating state			0.12	BATTERY_CONNECTED	1.3967	10.0	100.0							
12816168	capacitor_charge	12.45	1870	user	dragged	batteryNode	increasing												
12816168	capacitor_charge	12.45	1873	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	12.45	1876	user	dragged	batteryNode													
12816168	capacitor_charge	12.45	1879	model	updating state			0.13	BATTERY_CONNECTED	1.5	10.0	100.0							
12816168	capacitor_charge	12.88	1906	user	dragged	batteryNode													
12816168	capacitor_charge	12.88	1910	user	dragged	batteryNode													
12816168	capacitor_charge	12.92	1913	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	12.92	1916	model	updating state			0.13	BATTERY_CONNECTED	1.4868	10.0	100.0							
12816168	capacitor_charge	12.94	1919	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	12.94	1922	model	updating state			0.12	BATTERY_CONNECTED	1.3516	10.0	100.0							
12816168	capacitor_charge	12.97	1925	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	12.99	1928	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	12.99	1931	model	updating state			0.09	BATTERY_CONNECTED	0.9912	10.0	100.0							
12816168	capacitor_charge	13.01	1934	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.01	1937	model	updating state			0.07	BATTERY_CONNECTED	0.811	10.0	100.0							
12816168	capacitor_charge	13.01	1940	model	updating state			0.07	BATTERY_CONNECTED	0.811	10.0	100.0							
12816168	capacitor_charge	13.1	1946	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.1	1949	model	updating state			0.06	BATTERY_CONNECTED	0.7209	10.0	100.0							
12816168	capacitor_charge	13.11	1952	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.12	1955	model	updating state			0.06	BATTERY_CONNECTED	0.6758	10.0	100.0							
12816168	capacitor_charge	13.14	1958	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.15	1961	model	updating state			0.06	BATTERY_CONNECTED	0.6308	10.0	100.0							
12816168	capacitor_charge	13.16	1964	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.16	1967	model	updating state			0.04	BATTERY_CONNECTED	0.4956	10.0	100.0							
12816168	capacitor_charge	13.18	1970	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.18	1973	model	updating state			0.04	BATTERY_CONNECTED	0.4055	10.0	100.0							
12816168	capacitor_charge	13.19	1976	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.2	1979	model	updating state			0.03	BATTERY_CONNECTED	0.3154	10.0	100.0							
12816168	capacitor_charge	13.22	1982	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	13.22	1985	model	updating state			0.02	BATTERY_CONNECTED	0.2703	10.0	100.0							
