User	Sim	Timestamp	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
test		1484680994761	2974	model	updating state	none	none	True	615	1.04	0.1	0.0468	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994764	2977	user	dragged	wavelengthControls	decreasing														
test		1484680994776	2979	model	updating state	none	none	True	611	1.04	0.1	0.0416	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994778	2982	user	dragged	wavelengthControls	decreasing														
test		1484680994790	2984	model	updating state	none	none	True	601	1.04	0.1	0.03744	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994793	2987	user	dragged	wavelengthControls	decreasing														
test		1484680994815	2989	model	updating state	none	none	True	596	1.04	0.1	0.0312	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994827	2992	user	dragged	wavelengthControls	decreasing														
test		1484680994827	2994	model	updating state	none	none	True	586	1.04	0.1	0.0208	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994830	2997	user	dragged	wavelengthControls	decreasing														
test		1484680994849	3000	user	dragged	wavelengthControls	decreasing														
test		1484680994849	3002	model	updating state	none	none	True	577	1.04	0.1	0.01456	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994861	3005	user	dragged	wavelengthControls	decreasing														
test		1484680994861	3007	model	updating state	none	none	True	567	1.04	0.1	0.01144	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994877	3010	user	dragged	wavelengthControls	decreasing														
test		1484680994878	3013	user	dragged	wavelengthControls	decreasing														
test		1484680994878	3015	model	updating state	none	none	True	557	1.04	0.1	0.00936	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994885	3018	user	dragged	wavelengthControls	decreasing														
test		1484680994902	3021	user	dragged	wavelengthControls	decreasing														
test		1484680994906	3023	model	updating state	none	none	True	548	1.04	0.1	0.00728	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994923	3026	user	dragged	wavelengthControls	decreasing														
test		1484680994923	3028	model	updating state	none	none	True	538	1.04	0.1	0.00728	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994932	3031	user	dragged	wavelengthControls	decreasing														
test		1484680994932	3033	model	updating state	none	none	True	524	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994943	3036	user	dragged	wavelengthControls	decreasing														
test		1484680994945	3038	model	updating state	none	none	True	519	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994947	3041	user	dragged	wavelengthControls	decreasing														
test		1484680994964	3043	model	updating state	none	none	True	514	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994974	3046	user	dragged	wavelengthControls	decreasing														
test		1484680994975	3048	model	updating state	none	none	True	509	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994977	3051	user	dragged	wavelengthControls	decreasing														
test		1484680994992	3053	model	updating state	none	none	True	504	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680994994	3056	user	dragged	wavelengthControls	decreasing														
test		1484680995008	3058	model	updating state	none	none	True	500	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995011	3061	user	dragged	wavelengthControls	decreasing														
test		1484680995025	3063	model	updating state	none	none	True	495	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995028	3066	user	dragged	wavelengthControls	decreasing														
test		1484680995042	3068	model	updating state	none	none	True	490	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995044	3071	user	dragged	wavelengthControls	decreasing														
test		1484680995057	3073	model	updating state	none	none	True	485	1.04	0.1	0.0052	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995059	3076	user	dragged	wavelengthControls	decreasing														
test		1484680995075	3078	model	updating state	none	none	True	480	1.04	0.1	0.00728	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995077	3081	user	dragged	wavelengthControls	decreasing														
test		1484680995081	3084	user	dragged	wavelengthControls	decreasing														
test		1484680995091	3086	model	updating state	none	none	True	471	1.04	0.1	0.00728	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995093	3089	user	dragged	wavelengthControls	decreasing														
test		1484680995110	3091	model	updating state	none	none	True	466	1.04	0.1	0.00936	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995114	3094	user	dragged	wavelengthControls	decreasing														
test		1484680995114	3097	user	dragged	wavelengthControls	decreasing														
test		1484680995123	3099	model	updating state	none	none	True	456	1.04	0.1	0.00936	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995125	3102	user	dragged	wavelengthControls	decreasing														
test		1484680995130	3105	user	dragged	wavelengthControls	decreasing														
test		1484680995142	3107	model	updating state	none	none	True	446	1.04	0.1	0.00936	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995146	3110	user	dragged	wavelengthControls	decreasing														
test		1484680995164	3112	model	updating state	none	none	True	442	1.04	0.1	0.00936	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995164	3115	user	dragged	wavelengthControls	decreasing														
test		1484680995173	3117	model	updating state	none	none	True	427	1.04	0.1	0.01144	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995177	3120	user	dragged	wavelengthControls	decreasing														
test		1484680995178	3123	user	dragged	wavelengthControls	decreasing														
test		1484680995190	3125	model	updating state	none	none	True	417	1.04	0.1	0.01352	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995194	3128	user	dragged	wavelengthControls	decreasing														
test		1484680995194	3131	user	dragged	wavelengthControls	decreasing														
test		1484680995212	3133	model	updating state	none	none	True	408	1.04	0.1	0.01456	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995212	3136	user	dragged	wavelengthControls	decreasing														
test		1484680995227	3138	model	updating state	none	none	True	398	1.04	0.1	0.01664	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995234	3142	user	dragged	wavelengthControls	none														
test		1484680995265	3146	user	dragged	wavelengthControls	decreasing														
test		1484680995274	3148	model	updating state	none	none	True	388	1.04	0.1	0.0208	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995296	3151	user	dragged	wavelengthControls	decreasing														
test		1484680995296	3153	model	updating state	none	none	True	380	1.04	0.1	0.02392	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680995298	3156	user	dragged	wavelengthControls	none														
test		1484680995312	3160	user	dragged	wavelengthControls	none														
test		1484680995352	3166	user	dragged	wavelengthControls	none														
test		1484680995385	3171	user	dragged	wavelengthControls	none														
test		1484680995401	3175	user	dragged	wavelengthControls	none														
test		1484680995441	3180	user	dragged	wavelengthControls	none														
test		1484680995457	3184	user	dragged	wavelengthControls	none														
test		1484680995473	3188	user	dragged	wavelengthControls	none														
