User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
13122150	beers-law-lab	11.07	1254	model	sim	updating state			True	596	1.0	0.1	0.03	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.08	1257	user	sim	dragged	wavelengthControls	decreasing	True	596	1.0	0.1	0.03	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.08	1259	model	sim	updating state			True	586	1.0	0.1	0.02	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.37	1279	user	sim	dragged	wavelengthControls	decreasing	True	586	1.0	0.1	0.02	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.38	1281	model	sim	updating state			True	576	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.39	1284	user	sim	dragged	wavelengthControls	decreasing	True	576	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.4	1286	model	sim	updating state			True	567	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.4	1289	user	sim	dragged	wavelengthControls	decreasing	True	567	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.41	1291	model	sim	updating state			True	557	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.42	1294	user	sim	dragged	wavelengthControls	decreasing	True	557	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.44	1296	model	sim	updating state			True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.47	1300	user	sim	dragged	wavelengthControls	decreasing	True	547	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.47	1302	model	sim	updating state			True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.5	1306	user	sim	dragged	wavelengthControls	decreasing	True	538	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.5	1308	model	sim	updating state			True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.52	1312	user	sim	dragged	wavelengthControls	decreasing	True	528	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.53	1314	model	sim	updating state			True	518	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.57	1319	user	sim	dragged	wavelengthControls	decreasing	True	518	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.58	1321	model	sim	updating state			True	509	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.62	1327	user	sim	dragged	wavelengthControls	decreasing	True	509	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.65	1329	model	sim	updating state			True	499	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.73	1337	user	sim	dragged	wavelengthControls	decreasing	True	499	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.75	1339	model	sim	updating state			True	494	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.88	1350	user	sim	dragged	wavelengthControls		True	494	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	11.98	1359	user	sim	dragged	wavelengthControls	decreasing	True	494	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
